label,index,nr_pix,rows_with_2 ,cols_with_2 ,rows_with_3p,cols_with_3p,height,width,left2tile,right2tile,verticalness,top2tile,bottom2tile,horizontalness,curvednessa,1,68,5,4,13,13,18,19,22,21,0.632352941176471,18,17,0.514705882352941,0.191176470588235
a,2,58,1,3,14,12,15,17,13,12,0.431034482758621,10,11,0.362068965517241,0.344827586206897
a,3,59,3,6,12,10,15,18,16,15,0.525423728813559,13,16,0.491525423728814,0.23728813559322
a,4,56,3,11,13,7,16,19,15,14,0.517857142857143,15,14,0.517857142857143,0.232142857142857
a,5,56,2,4,13,11,15,18,11,14,0.446428571428571,12,11,0.410714285714286,0.321428571428571
a,6,60,3,9,13,11,16,21,15,15,0.5,16,16,0.533333333333333,0.2
a,7,62,3,4,13,14,16,19,15,17,0.516129032258065,17,15,0.516129032258065,0.241935483870968
a,8,63,5,9,12,9,17,19,19,19,0.603174603174603,17,13,0.476190476190476,0.222222222222222
b,1,39,8,3,4,6,19,9,16,19,0.897435897435897,5,6,0.282051282051282,0.153846153846154
b,2,38,9,3,2,6,19,9,17,19,0.947368421052632,7,9,0.421052631578947,0.131578947368421
b,3,37,9,3,3,6,20,9,18,20,1.02702702702703,4,6,0.27027027027027,0.162162162162162
b,4,40,8,7,4,4,18,11,15,18,0.825,11,10,0.525,0.125
b,5,35,7,6,3,3,17,9,16,19,1,9,8,0.485714285714286,0.114285714285714
b,6,37,7,6,4,5,17,11,14,17,0.837837837837838,10,9,0.513513513513513,0.162162162162162
b,7,41,7,9,4,3,18,12,17,18,0.853658536585366,13,12,0.609756097560976,0.121951219512195
b,8,44,6,3,6,8,20,11,19,19,0.863636363636364,9,9,0.409090909090909,0.136363636363636
c,1,40,2,7,5,6,19,14,8,10,0.45,14,14,0.7,0.15
c,2,35,2,10,4,3,18,14,9,8,0.485714285714286,15,14,0.828571428571429,0.0571428571428571
c,3,38,1,8,4,5,18,14,9,10,0.5,16,15,0.815789473684211,0.131578947368421
c,4,34,1,10,5,2,18,13,10,9,0.558823529411765,13,12,0.735294117647059,0.117647058823529
c,5,28,1,6,3,4,16,11,6,7,0.464285714285714,11,10,0.75,0.142857142857143
c,6,34,3,7,3,5,17,13,7,7,0.411764705882353,13,15,0.823529411764706,0.235294117647059
c,7,40,4,12,4,3,19,18,7,7,0.35,18,18,0.9,0.075
